coord,name,price,url,,,,,,,,,,,,,
"(-87.625268, 41.893983)",Conrad Chicago,355,www.booking.com/hotel/us/conrad-chicago-chicago.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=178869009_98259485_2_2_0,all_sr_blocks=178869009_98259485_2_2_0,room1=A%2CA,hpos=6,dest_type=city,dest_id=20033173,srfid=0b1cd8876c7c85af6e431b7875f982530c585ae2X6,from=searchresults,highlight_room=
"(-87.6318025588989, 41.8759100888627)",The Buckingham Hotel,315,www.booking.com/hotel/us/the-buckingham-athletic-club.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=18259201_88763710_0_0_0,all_sr_blocks=18259201_88763710_0_0_0,room1=A%2CA,hpos=8,dest_type=city,dest_id=20033173,srfid=0b1cd8876c7c85af6e431b7875f982530c585ae2X8,from=searchresults,highlight_room=
"(-87.5889626650123, 41.8001760582262)",Hyatt Place Chicago-South/University Medical Center,371.5,www.booking.com/hotel/us/hyatt-place-chicago-south-university-medical-center.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=81444208_93770791_6_1_0,all_sr_blocks=81444208_93770791_6_1_0,room1=A%2CA,hpos=9,dest_type=city,dest_id=20033173,srfid=0b1cd8876c7c85af6e431b7875f982530c585ae2X9,from=searchresults,highlight_room=
"(-87.6293537020683, 41.8749055134627)","Hotel Blake, an Ascend Hotel Collection Member",284,www.booking.com/hotel/us/blake.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=2338407_95147409_2_0_0,all_sr_blocks=2338407_95147409_2_0_0,room1=A%2CA,hpos=13,dest_type=city,dest_id=20033173,srfid=0b1cd8876c7c85af6e431b7875f982530c585ae2X13,from=searchresults,highlight_room=
"(-87.6321968436241, 41.8922936227198)",Best Western River North Hotel,240,www.booking.com/hotel/us/b-w-river-north-chicago-illinois.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=5957106_97178219_2_2_0,all_sr_blocks=5957106_97178219_2_2_0,room1=A%2CA,hpos=17,dest_type=city,dest_id=20033173,srfid=0b1cd8876c7c85af6e431b7875f982530c585ae2X17,from=searchresults,highlight_room=
"(-87.6244331896305, 41.8921558544078)",Chicago Marriott Downtown Magnificent Mile,359,www.booking.com/hotel/us/chicago-marriott-downtown-magnificent-mile.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=26245601_93619286_0_42_0,all_sr_blocks=26245601_93619286_0_42_0,room1=A%2CA,hpos=1,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX16,from=searchresults,highlight_room=
"(-87.6311127252006, 41.8913667051354)",Aloft Chicago City Center,369,www.booking.com/hotel/us/aloft-chicago-city-center.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=59944403_94497038_2_0_0,all_sr_blocks=59944403_94497038_2_0_0,room1=A%2CA,hpos=2,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX17,from=searchresults,highlight_room=
"(-87.6467666029931, 41.8811324282142)",Crowne Plaza - Chicago West Loop,369,www.booking.com/hotel/us/crown-plaza.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=18187207_95441606_0_0_0,all_sr_blocks=18187207_95441606_0_0_0,room1=A%2CA,hpos=5,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX20,from=searchresults,highlight_room=
"(-87.627114, 41.845503)",Chicago South Loop Hotel,216.5,www.booking.com/hotel/us/chicago-south-loop.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=50144503_92501885_4_0_0,all_sr_blocks=50144503_92501885_4_0_0,room1=A%2CA,hpos=6,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX21,from=searchresults,highlight_room=
"(-87.6276062428951, 41.8901402101286)",Courtyard by Marriott Chicago Downtown/River North,299,www.booking.com/hotel/us/courtyard-chicago-downtown-river-north-chicago.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=26565102_96279282_0_0_0,all_sr_blocks=26565102_96279282_0_0_0,room1=A%2CA,hpos=7,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX22,from=searchresults,highlight_room=
"(-87.6455676555634, 41.9328414881638)",Days Inn Chicago,275.5,www.booking.com/hotel/us/days-inn-lincoln-park-north.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=5601722_93700269_0_0_0,all_sr_blocks=5601722_93700269_0_0_0,room1=A%2CA,hpos=8,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX23,from=searchresults,highlight_room=
"(-87.6258118450642, 41.8990538881441)",The Whitehall Hotel,268,www.booking.com/hotel/us/the-whitehall.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=5627521_91903191_2_0_0,all_sr_blocks=5627521_91903191_2_0_0,room1=A%2CA,hpos=9,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX24,from=searchresults,highlight_room=
"(-87.630565, 41.890845)",Hyatt Place Chicago River North,339,www.booking.com/hotel/us/hyatt-place-chicago-river-north.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=59944305_93851998_2_1_0,all_sr_blocks=59944305_93851998_2_1_0,room1=A%2CA,hpos=10,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX25,from=searchresults,highlight_room=
